Day,Time,Room,Batch,Course,Type,Faculty
Monday,09:00-10:30,404,ECE_2021,Image Processing and Computer Vision,LECTURE,Dr. Sibasankar Padhy
Monday,15:00-16:30,404,ECE_2021,Generative AI,LECTURE,Dr. Nataraj
Monday,16:30-18:00,404,ECE_2021,Energy Efficient Neural Networks,LECTURE,Dr. Jagadish D N
Monday,09:00-11:00,304,ECE_2022,Introduction to Algorithms,LECTURE,Dr. Deepak
Monday,10:45-12:15,304,ECE_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Monday,11:15-13:15,304,ECE_2022,Advanced Digital Communication System,LECTURE,Dr. Chinmayananda
Monday,11:45-12:45,304,ECE_2022,Digital Signal Processing,LECTURE,Dr. Somen Bhattacharjee
Monday,14:30-16:00,304,ECE_2022,Introduction to VLSI Design,LECTURE,Dr. Jagadish D N
Monday,09:00-11:00,204,ECE_2023,Professional Communication,LECTURE,Dr. Chandrika Kamath
Monday,10:45-12:15,204,ECE_2023,Signals and Systems,LECTURE,Dr. Sibasankar Padhy
Monday,11:15-13:15,204,ECE_2023,Linear Integrated Circuits,LECTURE,Dr. Prakash Pawar
Monday,12:15-13:15,204,ECE_2023,Linear Algebra,LECTURE,Dr. Lakshman
Monday,15:00-16:30,204,ECE_2023,Electromagnetic Theory,LECTURE,Dr. Somen Bhattacharjee
Monday,16:30-17:30,204,ECE_2023,Microprocessors and Micro-controllers,LECTURE,Dr. Nataraj
Monday,09:00-11:00,104,ECE_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Monday,09:00-10:30,104,ECE_2024,Physics for ECE,LECTURE,Dr. Aswath
Monday,12:15-13:15,104,ECE_2024,Calculus,LECTURE,Dr. Anand P B
Monday,15:00-16:30,104,ECE_2024,Programming and Data Structures,LECTURE,Dr. Suvadip Hazra
Tuesday,10:45-12:15,401,CSE_A_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Tuesday,11:15-13:15,401,CSE_A_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Tuesday,14:30-16:30,401,CSE_A_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Tuesday,14:30-16:00,401,CSE_A_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Tuesday,11:15-13:15,301,CSE_A_2022,Computer Networks,LECTURE,Dr. C B Akki
Tuesday,13:30-15:00,301,CSE_A_2022,Graph Theory,LECTURE,Dr. Pavan
Tuesday,14:30-16:00,301,CSE_A_2022,Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Tuesday,15:00-16:30,301,CSE_A_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Tuesday,16:30-17:30,301,CSE_A_2022,Statistics for Computer Science,LECTURE,Dr. Ramesh Athe
Tuesday,16:30-18:00,301,CSE_A_2022,Cryptography and Information Security,LECTURE,Dr. Rajendra Hegadi
Tuesday,09:00-10:30,201,CSE_A_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Tuesday,09:00-11:00,201,CSE_A_2023,Design & Analysis of Algorithms,LECTURE,Dr. Vivekraj
Tuesday,12:15-13:15,201,CSE_A_2023,Object Oriented Programming,LECTURE,Dr. Pramod
Tuesday,16:30-18:00,201,CSE_A_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Tuesday,11:15-13:15,101,CSE_A_2024,English Language and Communication,LECTURE,Dr. Rajesh
Tuesday,16:00-17:30,101,CSE_A_2024,Problem Solving through Programming,LECTURE,Dr. Sunil Kumar P V
Tuesday,09:00-11:00,402,CSE_B_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Tuesday,11:15-13:15,402,CSE_B_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Tuesday,11:45-12:45,402,CSE_B_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Tuesday,16:00-17:30,402,CSE_B_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Tuesday,09:00-10:30,302,CSE_B_2022,Computer Networks,LECTURE,Dr. Sadhvi
Tuesday,10:45-12:15,302,CSE_B_2022,Parallel Computing,LECTURE,Dr. Pramod
Tuesday,11:15-13:15,302,CSE_B_2022,Advanced Algorithm Design,LECTURE,Dr. Suvadip Hazra
Tuesday,13:30-15:00,302,CSE_B_2022,Statistics for Computer Science,LECTURE,Dr. Sunil C K
Tuesday,16:30-17:30,302,CSE_B_2022,Artificial Intelligence,LECTURE,Dr. Girish GN
Tuesday,11:15-13:15,L207,CSE_B_2023,Computer Architecture,LAB,Dr. Prabhu Prasad B M
Tuesday,11:45-12:45,202,CSE_B_2023,Discrete Mathematics,LECTURE,Dr. Sadhvi
Tuesday,15:00-16:30,L207,CSE_B_2023,Object Oriented Programming,LAB,Dr. Vivekraj
Tuesday,16:00-17:30,202,CSE_B_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Tuesday,16:30-17:30,202,CSE_B_2023,Probability,LECTURE,Dr. Anand P B
Tuesday,09:00-11:00,102,CSE_B_2024,Introduction to Design,LECTURE,Dr. Sandesh
Tuesday,11:15-13:15,102,CSE_B_2024,Problem Solving through Programming,LECTURE,Dr. Sunil C K
Tuesday,11:45-12:45,102,CSE_B_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Tuesday,09:00-10:30,403,DSAI_2021,Human-Computer Interaction,LECTURE,Dr. Bharatesh Chakravarthi
Tuesday,10:45-12:15,403,DSAI_2021,Advanced Optimization Technique,LECTURE,Dr. Utkarsh Khaire
Tuesday,11:45-12:45,403,DSAI_2021,DevOps,LECTURE,Dr. Shirshendu Layek
Tuesday,14:30-16:30,403,DSAI_2021,Data Science System,LECTURE,Dr. Animesh Chaturvedi
Tuesday,15:00-16:30,403,DSAI_2021,Healthcare Data Analytics,LECTURE,Dr. Girish GN
Tuesday,10:45-12:15,303,DSAI_2022,Algorithms and Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Tuesday,11:15-13:15,303,DSAI_2022,Visualization and App Development,LECTURE,Dr. Siddharth R
Tuesday,15:00-16:30,303,DSAI_2022,Machine Learning,LECTURE,Dr. Sunil Kumar P V
Tuesday,16:30-18:00,303,DSAI_2022,Computer Communication Networks,LECTURE,Dr. C B Akki
Tuesday,09:00-10:30,203,DSAI_2023,Ethics,LECTURE,Guest Faculty
Tuesday,10:45-12:15,203,DSAI_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Tuesday,11:15-13:15,203,DSAI_2023,Object Oriented Programming,LECTURE,Dr. Manjunath KV
Tuesday,12:15-13:15,203,DSAI_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Tuesday,16:00-17:30,203,DSAI_2023,Introduction to Systems Thinking,LECTURE,Dr. Jagadeesha R Bhat
Tuesday,09:00-11:00,103,DSAI_2024,Finance and Accounting,LECTURE,Dr. Anushree Kini
Tuesday,09:00-10:30,103,DSAI_2024,Problem Solving through Programming,LECTURE,Dr. Manjunath KV
Tuesday,11:15-13:15,103,DSAI_2024,Mathematics for Data Science,LECTURE,Guest Faculty
Tuesday,09:00-11:00,404,ECE_2021,Generative AI,LECTURE,Dr. Nataraj
Tuesday,09:00-10:30,404,ECE_2021,Antennas & Radar Systems,LECTURE,Dr. Somen Bhattacharjee
Tuesday,10:45-12:15,404,ECE_2021,Image Processing and Computer Vision,LECTURE,Dr. Sibasankar Padhy
Tuesday,09:00-10:30,304,ECE_2022,Introduction to VLSI Design,LECTURE,Dr. Jagadish D N
Tuesday,11:15-13:15,304,ECE_2022,Introduction to Algorithms,LECTURE,Dr. Deepak
Tuesday,11:45-12:45,304,ECE_2022,Advanced Digital Communication System,LECTURE,Dr. Chinmayananda
Tuesday,13:30-15:00,304,ECE_2022,Happiness and Wellbeing,LECTURE,Dr. Chandrika Kamath
Tuesday,16:00-17:30,304,ECE_2022,Digital Signal Processing,LECTURE,Dr. Somen Bhattacharjee
Tuesday,10:45-12:15,204,ECE_2023,Microprocessors and Micro-controllers,LECTURE,Dr. Nataraj
Tuesday,11:15-13:15,204,ECE_2023,Linear Algebra,LECTURE,Dr. Lakshman
Tuesday,15:00-16:30,204,ECE_2023,Signals and Systems,LECTURE,Dr. Sibasankar Padhy
Tuesday,09:00-10:30,104,ECE_2024,Physics for ECE,LECTURE,Dr. Aswath
Tuesday,09:00-11:00,104,ECE_2024,Basic Circuit Theory,LECTURE,Dr. Somen Bhattacharjee
Tuesday,10:45-12:15,104,ECE_2024,Calculus,LECTURE,Dr. Anand P B
Tuesday,12:15-13:15,104,ECE_2024,Programming and Data Structures,LECTURE,Dr. Suvadip Hazra
Tuesday,15:00-16:30,104,ECE_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Wednesday,09:00-10:30,401,CSE_A_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Wednesday,09:00-11:00,401,CSE_A_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Wednesday,10:45-12:15,401,CSE_A_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Wednesday,11:15-13:15,401,CSE_A_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Wednesday,13:30-15:00,401,CSE_A_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Wednesday,16:30-18:00,401,CSE_A_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Wednesday,11:45-12:45,301,CSE_A_2022,Computer Networks,LECTURE,Dr. C B Akki
Wednesday,13:30-15:00,301,CSE_A_2022,Cryptography and Information Security,LECTURE,Dr. Rajendra Hegadi
Wednesday,15:00-16:30,301,CSE_A_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Wednesday,16:30-18:00,301,CSE_A_2022,Graph Theory,LECTURE,Dr. Pavan
Wednesday,10:45-12:15,201,CSE_A_2023,Probability,LECTURE,Dr. Anand P B
Wednesday,11:15-13:15,201,CSE_A_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Wednesday,15:00-16:30,L206,CSE_A_2023,Object Oriented Programming,LAB,Dr. Pramod
Wednesday,16:30-17:30,201,CSE_A_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Wednesday,16:30-18:00,201,CSE_A_2023,Design & Analysis of Algorithms,LECTURE,Dr. Vivekraj
Wednesday,10:45-12:15,101,CSE_A_2024,Probability,LECTURE,Dr. Lakshman
Wednesday,11:15-13:15,L106,CSE_A_2024,Digital Design,LAB,Dr. Jagadeesha R Bhat
Wednesday,16:30-17:30,101,CSE_A_2024,Introduction to Design,LECTURE,Dr. Sandesh
Wednesday,16:30-18:00,101,CSE_A_2024,English Language and Communication,LECTURE,Dr. Rajesh
Wednesday,10:45-12:15,402,CSE_B_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Wednesday,11:15-13:15,402,CSE_B_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Wednesday,15:00-16:30,402,CSE_B_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Wednesday,16:30-17:30,402,CSE_B_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Wednesday,11:15-13:15,302,CSE_B_2022,Statistics for Computer Science,LECTURE,Dr. Sunil C K
Wednesday,11:45-12:45,302,CSE_B_2022,Artificial Intelligence,LECTURE,Dr. Girish GN
Wednesday,13:30-15:00,302,CSE_B_2022,Parallel Computing,LECTURE,Dr. Pramod
Wednesday,14:30-16:30,302,CSE_B_2022,Advanced Algorithm Design,LECTURE,Dr. Suvadip Hazra
Wednesday,16:00-17:30,302,CSE_B_2022,Computer Networks,LECTURE,Dr. Sadhvi
Wednesday,09:00-10:30,202,CSE_B_2023,Object Oriented Programming,LECTURE,Dr. Vivekraj
Wednesday,10:45-12:15,202,CSE_B_2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Wednesday,11:45-12:45,202,CSE_B_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Wednesday,12:15-13:15,L207,CSE_B_2023,Design & Analysis of Algorithms,LAB,Dr. Dibyajyoti Guha
Wednesday,15:00-16:30,202,CSE_B_2023,Discrete Mathematics,LECTURE,Dr. Sadhvi
Wednesday,16:00-17:30,202,CSE_B_2023,Probability,LECTURE,Dr. Anand P B
Wednesday,09:00-11:00,102,CSE_B_2024,Problem Solving through Programming,LECTURE,Dr. Sunil C K
Wednesday,10:45-12:15,102,CSE_B_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Wednesday,12:15-13:15,102,CSE_B_2024,English Language and Communication,LECTURE,Dr. Rajesh
Wednesday,11:15-13:15,403,DSAI_2021,DevOps,LECTURE,Dr. Shirshendu Layek
Wednesday,11:45-12:45,403,DSAI_2021,Data Science System,LECTURE,Dr. Animesh Chaturvedi
Wednesday,14:30-16:00,403,DSAI_2021,Introduction to Cybersecurity,LECTURE,Dr. Rajendra Hegadi
Wednesday,16:30-17:30,403,DSAI_2021,Healthcare Data Analytics,LECTURE,Dr. Girish GN
Wednesday,09:00-11:00,303,DSAI_2022,Machine Learning,LECTURE,Dr. Sunil Kumar P V
Wednesday,09:00-10:30,303,DSAI_2022,Visualization and App Development,LECTURE,Dr. Siddharth R
Wednesday,14:30-16:00,303,DSAI_2022,Computer Communication Networks,LECTURE,Dr. C B Akki
Wednesday,14:30-16:30,303,DSAI_2022,Algorithms and Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Wednesday,15:00-16:30,303,DSAI_2022,Graphs and Social Networks,LECTURE,Dr. Utkarsh Khaire
Wednesday,09:00-11:00,203,DSAI_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Wednesday,10:45-12:15,203,DSAI_2023,Ethics,LECTURE,Guest Faculty
Wednesday,11:15-13:15,203,DSAI_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Wednesday,11:45-12:45,203,DSAI_2023,Introduction to Systems Thinking,LECTURE,Dr. Jagadeesha R Bhat
Wednesday,12:15-13:15,203,DSAI_2023,Object Oriented Programming,LECTURE,Dr. Manjunath KV
Wednesday,16:30-18:00,203,DSAI_2023,Data and Business Analytics,LECTURE,Dr. Abdul Wahid
Wednesday,09:00-10:30,103,DSAI_2024,Mathematics for Data Science,LECTURE,Guest Faculty
Wednesday,09:00-11:00,103,DSAI_2024,Data Science and AI Applications,LECTURE,Dr. Abdul Wahid
Wednesday,10:45-12:15,103,DSAI_2024,Problem Solving through Programming,LECTURE,Dr. Manjunath KV
Wednesday,11:15-13:15,L108,DSAI_2024,Language and Communication,LAB,Dr. Rajesh
Wednesday,11:45-12:45,103,DSAI_2024,Finance and Accounting,LECTURE,Dr. Anushree Kini
Wednesday,09:00-11:00,404,ECE_2021,Energy Efficient Neural Networks,LECTURE,Dr. Jagadish D N
Wednesday,11:15-13:15,404,ECE_2021,Image Processing and Computer Vision,LECTURE,Dr. Sibasankar Padhy
Wednesday,16:30-17:30,404,ECE_2021,Generative AI,LECTURE,Dr. Nataraj
Wednesday,16:30-18:00,404,ECE_2021,Antennas & Radar Systems,LECTURE,Dr. Somen Bhattacharjee
Wednesday,09:00-11:00,H309,ECE_2022,Digital Signal Processing,LAB,Dr. Somen Bhattacharjee
Wednesday,09:00-10:30,304,ECE_2022,Introduction to Algorithms,LECTURE,Dr. Deepak
Wednesday,10:45-12:15,304,ECE_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Wednesday,13:30-15:00,304,ECE_2022,Happiness and Wellbeing,LECTURE,Dr. Chandrika Kamath
Wednesday,14:30-16:30,304,ECE_2022,Introduction to VLSI Design,LECTURE,Dr. Jagadish D N
Wednesday,09:00-10:30,H209,ECE_2023,Microprocessors and Micro-controllers,LAB,Dr. Nataraj
Wednesday,12:15-13:15,204,ECE_2023,Electromagnetic Theory,LECTURE,Dr. Somen Bhattacharjee
Wednesday,16:00-17:30,H209,ECE_2023,Linear Integrated Circuits,LAB,Dr. Prakash Pawar
Wednesday,11:15-13:15,H109,ECE_2024,Programming and Data Structures,LAB,Dr. Suvadip Hazra
Wednesday,12:15-13:15,104,ECE_2024,Calculus,LECTURE,Dr. Anand P B
Wednesday,16:00-17:30,104,ECE_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Wednesday,16:30-17:30,104,ECE_2024,Basic Circuit Theory,LECTURE,Dr. Somen Bhattacharjee
Thursday,10:45-12:15,401,CSE_A_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Thursday,11:45-12:45,401,CSE_A_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Thursday,13:30-15:00,401,CSE_A_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Thursday,14:30-16:00,401,CSE_A_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Thursday,16:30-17:30,401,CSE_A_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Thursday,09:00-10:30,301,CSE_A_2022,Graph Theory,LECTURE,Dr. Pavan
Thursday,10:45-12:15,301,CSE_A_2022,Computer Networks,LECTURE,Dr. C B Akki
Thursday,14:30-16:00,301,CSE_A_2022,Statistics for Computer Science,LECTURE,Dr. Ramesh Athe
Thursday,15:00-16:30,301,CSE_A_2022,Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Thursday,09:00-10:30,201,CSE_A_2023,Probability,LECTURE,Dr. Anand P B
Thursday,11:15-13:15,201,CSE_A_2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Thursday,11:45-12:45,201,CSE_A_2023,Design & Analysis of Algorithms,LECTURE,Dr. Vivekraj
Thursday,12:15-13:15,201,CSE_A_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Thursday,15:00-16:30,201,CSE_A_2023,Object Oriented Programming,LECTURE,Dr. Pramod
Thursday,09:00-11:00,101,CSE_A_2024,Probability,LECTURE,Dr. Lakshman
Thursday,11:15-13:15,L106,CSE_A_2024,Problem Solving through Programming,LAB,Dr. Sunil Kumar P V
Thursday,16:30-18:00,101,CSE_A_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Thursday,09:00-11:00,402,CSE_B_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Thursday,10:45-12:15,402,CSE_B_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Thursday,11:15-13:15,402,CSE_B_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Thursday,11:45-12:45,402,CSE_B_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Thursday,13:30-15:00,402,CSE_B_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Thursday,09:00-10:30,302,CSE_B_2022,Parallel Computing,LECTURE,Dr. Pramod
Thursday,10:45-12:15,302,CSE_B_2022,Statistics for Computer Science,LECTURE,Dr. Sunil C K
Thursday,11:45-12:45,302,CSE_B_2022,Computer Networks,LECTURE,Dr. Sadhvi
Thursday,11:45-12:45,202,CSE_B_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Thursday,12:15-13:15,202,CSE_B_2023,Object Oriented Programming,LECTURE,Dr. Vivekraj
Thursday,15:00-16:30,202,CSE_B_2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Thursday,09:00-11:00,102,CSE_B_2024,English Language and Communication,LECTURE,Dr. Rajesh
Thursday,10:45-12:15,102,CSE_B_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Thursday,15:00-16:30,102,CSE_B_2024,Probability,LECTURE,Dr. Lakshman
Thursday,16:00-17:30,102,CSE_B_2024,Introduction to Design,LECTURE,Dr. Sandesh
Thursday,09:00-11:00,403,DSAI_2021,Healthcare Data Analytics,LECTURE,Dr. Girish GN
Thursday,09:00-10:30,403,DSAI_2021,Advanced Optimization Technique,LECTURE,Dr. Utkarsh Khaire
Thursday,10:45-12:15,403,DSAI_2021,DevOps,LECTURE,Dr. Shirshendu Layek
Thursday,13:30-15:00,403,DSAI_2021,Introduction to Cybersecurity,LECTURE,Dr. Rajendra Hegadi
Thursday,14:30-16:30,403,DSAI_2021,Human-Computer Interaction,LECTURE,Dr. Bharatesh Chakravarthi
Thursday,09:00-11:00,L308,DSAI_2022,Computer Communication Networks,LAB,Dr. C B Akki
Thursday,09:00-10:30,303,DSAI_2022,Visualization and App Development,LECTURE,Dr. Siddharth R
Thursday,14:30-16:30,303,DSAI_2022,Graphs and Social Networks,LECTURE,Dr. Utkarsh Khaire
Thursday,09:00-10:30,203,DSAI_2023,Object Oriented Programming,LECTURE,Dr. Manjunath KV
Thursday,09:00-11:00,203,DSAI_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Thursday,10:45-12:15,203,DSAI_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Thursday,12:15-13:15,203,DSAI_2023,Data and Business Analytics,LECTURE,Dr. Abdul Wahid
Thursday,10:45-12:15,103,DSAI_2024,Problem Solving through Programming,LECTURE,Dr. Manjunath KV
Thursday,12:15-13:15,103,DSAI_2024,Language and Communication,LECTURE,Dr. Rajesh
Thursday,15:00-16:30,103,DSAI_2024,Mathematics for Data Science,LECTURE,Guest Faculty
Thursday,16:30-17:30,103,DSAI_2024,Data Science and AI Applications,LECTURE,Dr. Abdul Wahid
Thursday,09:00-11:00,404,ECE_2021,Energy Efficient Neural Networks,LECTURE,Dr. Jagadish D N
Thursday,14:30-16:30,404,ECE_2021,Antennas & Radar Systems,LECTURE,Dr. Somen Bhattacharjee
Thursday,16:00-17:30,404,ECE_2021,Image Processing and Computer Vision,LECTURE,Dr. Sibasankar Padhy
Thursday,16:30-18:00,404,ECE_2021,Generative AI,LECTURE,Dr. Nataraj
Thursday,09:00-11:00,304,ECE_2022,Digital Signal Processing,LECTURE,Dr. Somen Bhattacharjee
Thursday,10:45-12:15,304,ECE_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Thursday,11:15-13:15,304,ECE_2022,Happiness and Wellbeing,LECTURE,Dr. Chandrika Kamath
Thursday,16:30-18:00,304,ECE_2022,Introduction to VLSI Design,LECTURE,Dr. Jagadish D N
